symbol,name,current_price,market_cap,pe_ratio,pb_ratio,roe,eps,book_value,beta,peg_ratio,roa,debt_to_equity,current_ratio,quick_ratio,revenue_growth,earnings_growth,operating_margin,net_margin,profit_margin,dividend_yield,volume,sector,market_cap_category,last_updated
NSE:SOTL-EQ,SAVITA OIL TECHNOLO. LTD,394.2,197100.0,18.94,2.24,19.17,,,1.44,,,0.72,,,,,,,,2.59,20456,Technology,large_cap,2025-09-28 10:50:13.817935
NSE:BAJFINANCE-EQ,BAJAJ FINANCE LIMITED,985.1,197020.0,19.82,1.2,15.42,,,1.36,,,1.17,,,,,,,,2.24,9109737,Technology,large_cap,2025-09-28 09:08:21.722107
NSE:APCOTEXIND-EQ,APCOTEX INDUSTRIES LIMITE,393.15,196575.0,20.46,1.02,13.02,,,1.46,,,0.71,,,,,,,,2.39,50703,Technology,large_cap,2025-09-28 08:30:23.514809
NSE:GOKULAGRO-EQ,GOKUL AGRO RESOURCES LTD,392.25,196125.0,13.94,1.73,19.53,,,1.28,,,0.81,,,,,,,,3.22,393226,Technology,large_cap,2025-09-28 08:29:49.956321
NSE:ADOR-EQ,ADOR WELDING LTD,980.05,196010.0,17.29,1.23,17.84,,,1.11,,,1.04,,,,,,,,2.85,7030,Technology,large_cap,2025-09-28 10:50:15.230236
NSE:ZYDUSLIFE-EQ,ZYDUS LIFESCIENCES LTD,975.0,195000.0,15.76,1.13,12.66,,,1.45,,,0.87,,,,,,,,2.28,2575036,Technology,large_cap,2025-09-28 09:22:05.133746
NSE:MBEL-EQ,M AND B ENGINEERING LTD,389.35,194675.0,15.33,1.63,12.12,,,1.04,,,0.69,,,,,,,,2.21,365496,Technology,large_cap,2025-09-28 08:29:50.845349
NSE:EVEREADY-EQ,EVEREADY INDS. IND.  LTD.,389.35,194675.0,15.78,2.19,12.78,,,1.35,,,0.68,,,,,,,,2.19,175731,Technology,large_cap,2025-09-28 08:29:55.841798
NSE:NDGL-EQ,NAGA DHUNSERI GROUP LTD,3891.6,194580.0,19.91,1.31,15.56,,,1.36,,,1.24,,,,,,,,3.4,225,Technology,large_cap,2025-09-28 10:53:22.688679
NSE:COALINDIA-EQ,COAL INDIA LTD,389.15,194575.0,16.42,1.6,14.31,,,1.24,,,1.27,,,,,,,,3.32,4698693,Technology,large_cap,2025-09-28 09:15:24.417931
NSE:AHLUCONT-EQ,AHLUWALIA CONT IND LTD,972.0,194400.0,18.42,1.8,18.26,,,1.09,,,0.8,,,,,,,,3.26,53015,Technology,large_cap,2025-09-28 08:30:23.433461
NSE:EXIDEIND-EQ,EXIDE INDUSTRIES LTD,388.8,194400.0,10.78,2.02,18.1,,,1.01,,,1.11,,,,,,,,2.71,2218255,Technology,large_cap,2025-09-28 09:24:59.002750
NSE:YUKEN-EQ,YUKEN INDIA LIMITED,971.2,194240.0,9.95,2.23,17.77,,,1.44,,,1.29,,,,,,,,3.11,3284,Technology,large_cap,2025-09-28 10:50:15.857816
NSE:EXPLEOSOL-EQ,EXPLEO SOLUTIONS LIMITED,970.9,194180.0,16.11,1.15,13.72,,,1.07,,,0.97,,,,,,,,2.15,7575,Technology,large_cap,2025-09-28 10:50:15.151617
NSE:ARIES-EQ,ARIES AGRO LTD.,387.9,193950.0,12.49,2.36,15.54,,,1.05,,,0.98,,,,,,,,3.3,62303,Technology,large_cap,2025-09-28 08:30:22.960571
NSE:INDIACEM-EQ,THE INDIA CEMENTS LIMITED,385.55,192775.0,18.13,1.51,19.06,,,1.44,,,0.68,,,,,,,,2.53,527637,Technology,large_cap,2025-09-28 08:23:37.667700
NSE:NRAIL-EQ,N R AGARWAL INDS LTD,385.0,192500.0,17.54,1.53,18.31,,,1.12,,,1.07,,,,,,,,2.59,5675,Technology,large_cap,2025-09-28 10:50:15.430149
NSE:HAPPYFORGE-EQ,HAPPY FORGINGS LIMITED,962.0,192400.0,10.28,1.73,12.96,,,1.13,,,0.99,,,,,,,,2.4,26096,Technology,large_cap,2025-09-28 10:50:13.235272
NSE:MIDHANI-EQ,MISHRA DHATU NIGAM LTD,384.0,192000.0,10.18,1.54,15.82,,,1.2,,,1.22,,,,,,,,2.91,338285,Technology,large_cap,2025-09-28 08:29:51.480697
NSE:TATAPOWER-EQ,TATA POWER CO LTD,383.8,191900.0,21.55,1.43,17.0,,,1.5,,,0.58,,,,,,,,2.43,3519702,Technology,large_cap,2025-09-28 09:18:20.505455
NSE:CHALET-EQ,CHALET HOTELS LIMITED,956.4,191280.0,15.36,1.55,12.86,,,1.27,,,0.59,,,,,,,,3.46,333567,Technology,large_cap,2025-09-28 08:29:51.603061
NSE:ZUARIIND-EQ,ZUARI INDUSTRIES LIMITED,381.7,190850.0,13.95,1.38,14.02,,,1.19,,,1.19,,,,,,,,2.41,1838307,Technology,large_cap,2025-09-28 09:29:17.900778
NSE:CMSINFO-EQ,CMS INFO SYSTEMS LIMITED,380.0,190000.0,12.76,1.91,15.4,,,1.41,,,1.13,,,,,,,,2.23,874867,Technology,large_cap,2025-09-28 09:44:38.551642
NSE:CAMS-EQ,COMPUTER AGE MNGT SER LTD,3800.0,190000.0,20.72,1.64,16.24,,,1.08,,,0.59,,,,,,,,2.22,195526,Technology,large_cap,2025-09-28 08:29:54.972779
NSE:HDFCBANK-EQ,HDFC BANK LTD,945.05,189010.0,17.49,1.23,20.55,,,1.26,,,0.76,,,,,,,,2.36,14874656,Technology,large_cap,2025-09-28 10:45:13.402344
NSE:RAILTEL-EQ,RAILTEL CORP OF IND LTD,377.95,188975.0,18.83,1.27,20.13,,,1.37,,,1.09,,,,,,,,2.89,2729607,Technology,large_cap,2025-09-28 09:21:32.276429
NSE:ASALCBR-EQ,ASSO ALCOHOLS & BREW LTD,943.6,188720.0,19.53,1.88,15.05,,,1.16,,,1.28,,,,,,,,2.16,76799,Technology,large_cap,2025-09-28 08:30:22.417776
NSE:FACT-EQ,FACT LTD,942.65,188530.0,16.89,2.47,13.89,,,1.07,,,0.79,,,,,,,,2.47,149955,Technology,large_cap,2025-09-28 08:29:56.755338
NSE:VHL-EQ,VARDHMAN HOLDINGS LIMITED,3766.1,188305.0,20.18,1.28,16.87,,,1.02,,,1.11,,,,,,,,3.08,604,Technology,large_cap,2025-09-28 10:53:22.652480
NSE:HGINFRA-EQ,H.G.INFRA ENGINEERING LTD,940.4,188080.0,19.04,1.45,19.23,,,1.16,,,1.03,,,,,,,,2.86,107722,Technology,large_cap,2025-09-28 08:30:21.574415
NSE:DOLPHIN-EQ,DOLPHIN OFF ENT (IND) L,376.05,188025.0,20.89,1.98,13.36,,,1.29,,,0.65,,,,,,,,2.73,4886,Technology,large_cap,2025-09-28 10:50:15.581678
NSE:ALIVUS-EQ,ALIVUS LIFE SCIENCES LTD,939.2,187840.0,20.03,2.56,13.92,,,1.13,,,0.56,,,,,,,,2.41,313548,Technology,large_cap,2025-09-28 08:29:52.023423
NSE:EIHOTEL-EQ,EIH LIMITED,375.15,187575.0,19.31,1.81,16.85,,,1.28,,,0.89,,,,,,,,2.7,241264,Technology,large_cap,2025-09-28 08:29:53.520111
NSE:PCBL-EQ,PCBL CHEMICAL LIMITED,375.05,187525.0,15.36,1.03,18.99,,,1.19,,,1.11,,,,,,,,2.05,512846,Technology,large_cap,2025-09-28 08:23:37.802964
NSE:AARTIIND-EQ,AARTI INDUSTRIES LTD,374.6,187300.0,21.37,1.0,11.82,,,1.49,,,0.68,,,,,,,,3.33,501448,Technology,large_cap,2025-09-28 08:23:37.970579
NSE:INDNIPPON-EQ,INDIA NIPPON ELECT  LTD,935.8,187160.0,20.45,1.84,17.06,,,1.46,,,0.74,,,,,,,,3.16,35151,Technology,large_cap,2025-09-28 08:30:24.718689
NSE:EIHAHOTELS-EQ,EIH ASSOCIATED HOTELS LTD,374.15,187075.0,9.87,1.05,17.23,,,1.34,,,0.87,,,,,,,,3.02,34447,Technology,large_cap,2025-09-28 10:50:12.672937
NSE:KALPATARU-EQ,KALPATARU LIMITED,374.0,187000.0,12.0,1.9,18.68,,,1.39,,,1.19,,,,,,,,2.41,31562,Technology,large_cap,2025-09-28 10:50:12.830644
NSE:JPOLYINVST-EQ,JIND POL INV & FIN CO LTD,932.8,186560.0,9.67,1.27,17.06,,,1.23,,,0.7,,,,,,,,2.17,4363,Technology,large_cap,2025-09-28 10:50:15.668362
NSE:FORTIS-EQ,FORTIS HEALTHCARE LTD,932.75,186550.0,11.34,1.91,12.72,,,1.41,,,0.86,,,,,,,,2.75,1580604,Technology,large_cap,2025-09-28 09:30:32.079429
NSE:LT-EQ,LARSEN & TOUBRO LTD.,3729.5,186475.0,13.22,1.87,20.0,,,1.46,,,0.83,,,,,,,,2.15,5870301,Technology,large_cap,2025-09-28 09:13:30.489510
NSE:REFEX-EQ,REFEX INDUSTRIES LIMITED,372.8,186400.0,10.33,1.29,13.26,,,1.49,,,1.26,,,,,,,,2.95,417335,Technology,large_cap,2025-09-28 08:29:48.903344
NSE:INFRABEES-EQ,NIP IND ETF INFRA BEES,931.82,186364.0,17.69,2.13,18.74,,,1.04,,,1.19,,,,,,,,2.2,11588,Technology,large_cap,2025-09-28 10:50:14.759664
NSE:TATACHEM-EQ,TATA CHEMICALS LTD,930.8,186160.0,15.21,1.81,18.3,,,1.23,,,0.64,,,,,,,,2.64,465621,Technology,large_cap,2025-09-28 08:29:47.944477
NSE:AGARIND-EQ,AGARWAL INDS CORP LTD.,928.65,185730.0,10.51,1.81,13.89,,,1.02,,,0.81,,,,,,,,2.6,43792,Technology,large_cap,2025-09-28 08:30:24.022055
NSE:TINNARUBR-EQ,TINNA RUBBER AND INFR LTD,927.85,185570.0,14.82,1.6,14.33,,,1.16,,,1.25,,,,,,,,3.11,34880,Technology,large_cap,2025-09-28 08:30:24.754148
NSE:GANDHITUBE-EQ,GANDHI SPL. TUBES LTD,927.65,185530.0,22.42,5.67,15.73,,,1.38,,,0.12,,,,,,,,1.98,46231,Technology,large_cap,2025-09-28 08:30:23.707876
NSE:VGUARD-EQ,V-GUARD IND LTD.,370.6,185300.0,17.68,2.22,12.89,,,1.06,,,0.83,,,,,,,,2.36,401572,Technology,large_cap,2025-09-28 08:29:49.588807
NSE:SOFTTECH-EQ,SOFTTECH ENGINEERS LTD,370.55,185275.0,12.6,1.25,13.64,,,1.27,,,1.12,,,,,,,,2.11,4105,Technology,large_cap,2025-09-28 10:50:15.711256
NSE:JKPAPER-EQ,JK PAPER LIMITED,370.4,185200.0,15.22,2.16,17.34,,,1.19,,,0.59,,,,,,,,3.42,204452,Technology,large_cap,2025-09-28 08:29:54.591680
NSE:NETWEB-EQ,NETWEB TECH INDIA LTD,3695.4,184770.0,10.98,1.83,19.63,,,1.1,,,1.14,,,,,,,,2.7,5693035,Technology,large_cap,2025-09-28 09:13:41.384246
NSE:ALLDIGI-EQ,ALLDIGI TECH LIMITED,923.65,184730.0,20.56,1.18,16.11,,,1.41,,,0.62,,,,,,,,2.61,6217,Technology,large_cap,2025-09-28 10:50:15.345416
NSE:WINDLAS-EQ,WINDLAS BIOTECH LIMITED,922.7,184540.0,13.27,2.11,17.89,,,1.08,,,1.02,,,,,,,,3.08,63238,Technology,large_cap,2025-09-28 08:30:22.896581
NSE:GOLDIAM-EQ,GOLDIAM INTERNATIONAL LTD,368.1,184050.0,14.46,1.58,18.99,,,1.13,,,1.3,,,,,,,,3.23,1455051,Technology,large_cap,2025-09-28 09:32:24.032140
NSE:LGHL-EQ,LAXMI GOLDORNA HOUSE LTD,919.9,183980.0,11.19,1.77,13.13,,,1.42,,,0.58,,,,,,,,2.81,53446,Technology,large_cap,2025-09-28 08:30:23.381640
NSE:CARBORUNIV-EQ,CARBORUNDUM UNIVERSAL LTD,919.9,183980.0,17.48,2.31,15.99,,,1.35,,,1.07,,,,,,,,2.83,210343,Technology,large_cap,2025-09-28 08:29:54.433587
NSE:FLUOROCHEM-EQ,GUJARAT FLUOROCHEM LTD,3679.0,183950.0,15.29,2.2,19.21,,,1.37,,,1.05,,,,,,,,2.87,77451,Technology,large_cap,2025-09-28 08:30:22.380804
NSE:SBIETFIT-EQ,SBIAMC - SBIETFIT,367.43,183715.0,27.26,4.97,16.22,,,1.53,,,0.12,,,,,,,,1.58,20800,Technology,large_cap,2025-09-28 10:50:13.780163
NSE:RECLTD-EQ,REC LIMITED,367.4,183700.0,20.5,2.09,19.05,,,1.4,,,1.24,,,,,,,,2.5,4501242,Technology,large_cap,2025-09-28 09:15:58.065714
NSE:SENSEXIETF-EQ,ICICI PRUD SENSEX ETF,918.2,183640.0,14.65,2.12,18.67,,,1.19,,,1.03,,,,,,,,3.08,7643,Technology,large_cap,2025-09-28 10:50:15.135474
NSE:SAKAR-EQ,SAKAR HEALTHCARE LIMITED,366.7,183350.0,21.02,1.93,17.14,,,1.04,,,1.31,,,,,,,,2.06,20014,Technology,large_cap,2025-09-28 10:50:13.850904
NSE:DOLLAR-EQ,DOLLAR INDUSTRIES LIMITED,366.65,183325.0,16.81,1.83,17.18,,,1.28,,,1.06,,,,,,,,2.5,40920,Technology,large_cap,2025-09-28 08:30:24.204276
NSE:INDIANHUME-EQ,INDIAN HUME PIPE CO. LTD.,366.6,183300.0,16.17,1.29,19.2,,,1.35,,,1.18,,,,,,,,3.18,16145,Technology,large_cap,2025-09-28 10:50:14.190622
NSE:KIRLOSENG-EQ,KIRLOSKAR OIL ENG LTD,915.2,183040.0,10.62,2.58,14.25,,,1.17,,,0.85,,,,,,,,2.04,175745,Technology,large_cap,2025-09-28 08:29:55.806695
NSE:SANGHVIMOV-EQ,SANGHVI MOVERS LTD,365.8,182900.0,15.9,1.08,18.65,,,1.37,,,1.24,,,,,,,,2.81,463130,Technology,large_cap,2025-09-28 08:29:48.119117
NSE:AXISTECETF-EQ,AXISAMC - AXISTECETF,365.07,182535.0,18.95,1.87,14.83,,,1.36,,,0.71,,,,,,,,3.03,5084,Technology,large_cap,2025-09-28 10:50:15.533251
NSE:BANARISUG-EQ,BANNARI AMMAN SUGARS LTD,3650.2,182510.0,14.46,2.18,17.2,,,1.33,,,1.2,,,,,,,,3.19,670,Technology,large_cap,2025-09-28 10:53:22.645991
NSE:SWELECTES-EQ,SWELECT ENERGY SYS LTD,911.35,182270.0,10.33,2.44,17.98,,,1.34,,,1.03,,,,,,,,2.58,93564,Technology,large_cap,2025-09-28 08:30:21.941245
NSE:BAJAJINDEF-EQ,INDEF MANUFACTURING LTD,364.4,182200.0,11.7,1.21,18.52,,,1.41,,,0.97,,,,,,,,2.62,13883,Technology,large_cap,2025-09-28 10:50:14.427753
NSE:MOTILALOFS-EQ,MOTILAL OSWAL FIN LTD,910.75,182150.0,11.3,1.93,16.34,,,1.45,,,1.16,,,,,,,,2.66,576550,Technology,large_cap,2025-09-28 09:56:37.903843
NSE:BESTAGRO-EQ,BEST AGROLIFE LIMITED,364.0,182000.0,14.8,1.9,19.46,,,1.06,,,0.95,,,,,,,,2.79,20957,Technology,large_cap,2025-09-28 10:50:13.757684
NSE:APLLTD-EQ,ALEMBIC PHARMA LTD,909.9,181980.0,16.99,2.33,17.52,,,1.24,,,1.04,,,,,,,,3.48,162629,Technology,large_cap,2025-09-28 08:29:56.303034
NSE:GEECEE-EQ,GEECEE VENTURES LIMITED,363.0,181500.0,12.29,1.52,14.98,,,1.17,,,1.03,,,,,,,,3.5,2743,Technology,large_cap,2025-09-28 10:53:22.418692
NSE:SGMART-EQ,SG MART LIMITED,362.95,181475.0,12.18,1.06,13.15,,,1.48,,,0.58,,,,,,,,3.46,33110,Technology,large_cap,2025-09-28 10:50:12.712073
NSE:SHYAMMETL-EQ,SHYAM METALICS AND ENGY L,907.25,181450.0,16.27,1.6,16.64,,,1.36,,,1.06,,,,,,,,2.39,148322,Technology,large_cap,2025-09-28 08:29:56.820265
NSE:FIRSTCRY-EQ,BRAINBEES SOLUTIONS LTD,362.85,181425.0,14.77,1.2,18.19,,,1.26,,,0.86,,,,,,,,3.09,861756,Technology,large_cap,2025-09-28 09:45:25.835575
NSE:ASAHIINDIA-EQ,ASAHI INDIA GLASS LIMITED,906.7,181340.0,19.29,2.16,12.19,,,1.23,,,0.91,,,,,,,,2.97,398234,Technology,large_cap,2025-09-28 08:29:49.666274
NSE:GOPAL-EQ,GOPAL SNACKS LIMITED,362.3,181150.0,15.77,2.16,19.31,,,1.49,,,0.62,,,,,,,,2.2,134985,Technology,large_cap,2025-09-28 08:29:57.362806
NSE:DVL-EQ,DHUNSERI VENTURES LIMITED,362.3,181150.0,14.01,2.27,16.42,,,1.06,,,0.78,,,,,,,,2.04,19120,Technology,large_cap,2025-09-28 10:50:13.924617
NSE:CREST-EQ,CREST VENTURES LIMITED,362.1,181050.0,20.32,2.07,12.86,,,1.01,,,0.75,,,,,,,,3.18,3802,Technology,large_cap,2025-09-28 10:50:15.753862
NSE:BRIGADE-EQ,BRIGADE ENTER. LTD,905.1,181020.0,19.81,1.48,17.37,,,1.04,,,1.07,,,,,,,,2.6,560409,Technology,large_cap,2025-09-28 09:57:15.018204
NSE:SEAMECLTD-EQ,SEAMEC LIMITED,904.05,180810.0,18.49,2.02,16.98,,,1.43,,,1.16,,,,,,,,2.63,19561,Technology,large_cap,2025-09-28 10:50:13.883848
NSE:BSOFT-EQ,BIRLASOFT LIMITED,361.15,180575.0,17.86,2.06,12.66,,,1.02,,,0.76,,,,,,,,3.49,569241,Technology,large_cap,2025-09-28 09:56:57.974534
NSE:SYMPHONY-EQ,SYMPHONY LIMITED,902.8,180560.0,11.92,1.97,14.44,,,1.2,,,0.85,,,,,,,,3.15,39665,Technology,large_cap,2025-09-28 08:30:24.282495
NSE:GRMOVER-EQ,GRM OVERSEAS LIMITED,361.1,180550.0,17.64,1.47,16.69,,,1.01,,,1.15,,,,,,,,2.75,1200456,Technology,large_cap,2025-09-28 09:37:00.084206
NSE:LICNETFSEN-EQ,LICNAMC - LICNFESGP,902.0,180400.0,16.8,2.45,13.8,,,1.17,,,0.78,,,,,,,,2.45,248,Technology,large_cap,2025-09-28 10:53:22.686091
NSE:CSBBANK-EQ,CSB BANK LIMITED,360.65,180325.0,13.6,1.19,15.53,,,1.38,,,0.6,,,,,,,,2.51,615460,Technology,large_cap,2025-09-28 09:55:05.261549
NSE:VIDHIING-EQ,VIDHI SPCLTY F INGRDNTS L,360.55,180275.0,19.46,2.27,19.59,,,1.3,,,1.32,,,,,,,,2.04,13468,Technology,large_cap,2025-09-28 10:50:14.516115
NSE:STYLEBAAZA-EQ,BAAZAR STYLE RETAIL LTD,360.3,180150.0,20.11,2.08,12.22,,,1.12,,,0.61,,,,,,,,2.75,682445,Technology,large_cap,2025-09-28 09:52:15.173714
NSE:MAHLIFE-EQ,MAHINDRA LIFESPACE DEVLTD,359.85,179925.0,15.72,2.18,12.72,,,1.01,,,0.67,,,,,,,,2.18,104239,Technology,large_cap,2025-09-28 08:30:21.660366
NSE:GICRE-EQ,GENERAL INS CORP OF INDIA,359.7,179850.0,15.85,1.82,13.34,,,1.38,,,1.17,,,,,,,,2.36,522014,Technology,large_cap,2025-09-28 08:23:37.717986
NSE:PROTEAN-EQ,PROTEAN EGOV TECHNO LTD,897.1,179420.0,21.2,2.34,16.13,,,1.15,,,0.83,,,,,,,,3.02,444542,Technology,large_cap,2025-09-28 08:29:48.562594
NSE:ISGEC-EQ,ISGEC HEAVY ENG LTD,896.3,179260.0,20.14,2.3,18.24,,,1.26,,,0.99,,,,,,,,2.18,36972,Technology,large_cap,2025-09-28 08:30:24.536949
NSE:HATSUN-EQ,HATSUN AGRO PRODUCT LTD.,895.6,179120.0,10.11,1.13,16.82,,,1.18,,,1.28,,,,,,,,3.34,96022,Technology,large_cap,2025-09-28 08:30:21.879948
NSE:JKTYRE-EQ,JK TYRE & INDUSTRIES LTD,358.15,179075.0,19.26,1.03,12.42,,,1.39,,,0.97,,,,,,,,3.32,391797,Technology,large_cap,2025-09-28 08:29:50.017250
NSE:GUFICBIO-EQ,GUFIC BIOSCIENCES LTD.,358.0,179000.0,14.76,1.52,16.62,,,1.14,,,0.73,,,,,,,,2.88,36265,Technology,large_cap,2025-09-28 08:30:24.609436
NSE:SONATSOFTW-EQ,SONATA SOFTWARE LTD,357.8,178900.0,11.85,1.63,17.39,,,1.08,,,0.93,,,,,,,,3.29,558274,Technology,large_cap,2025-09-28 09:57:30.221476
NSE:RAMCOIND-EQ,RAMCO INDUSTRIES LIMITED,357.35,178675.0,12.32,1.38,12.67,,,1.23,,,0.74,,,,,,,,2.62,244650,Technology,large_cap,2025-09-28 08:29:53.439035
NSE:TORNTPHARM-EQ,TORRENT PHARMACEUTICALS L,3561.0,178050.0,9.99,1.99,16.2,,,1.49,,,1.23,,,,,,,,3.14,717472,Technology,large_cap,2025-09-28 09:51:14.782862
NSE:CCL-EQ,CCL PRODUCTS (I) LTD,889.15,177830.0,12.43,2.13,17.71,,,1.29,,,1.21,,,,,,,,2.41,97030,Technology,large_cap,2025-09-28 08:30:21.853693
NSE:NEWGEN-EQ,NEWGEN SOFTWARE TECH LTD,888.6,177720.0,18.05,1.85,12.29,,,1.01,,,0.79,,,,,,,,2.67,408640,Technology,large_cap,2025-09-28 08:29:49.235314
NSE:EPACK-EQ,EPACK DURABLE LIMITED,354.95,177475.0,19.11,1.2,18.03,,,1.25,,,0.9,,,,,,,,2.31,448538,Technology,large_cap,2025-09-28 08:29:48.441738
NSE:IRMENERGY-EQ,IRM ENERGY LIMITED,354.65,177325.0,16.08,1.54,8.82,,,0.99,,,0.44,,,,,,,,2.45,1141993,Technology,large_cap,2025-09-28 09:38:06.582509
NSE:BANSALWIRE-EQ,BANSAL WIRE INDUSTRIES L,354.55,177275.0,10.88,2.32,11.93,,,1.31,,,0.75,,,,,,,,2.66,36172,Technology,large_cap,2025-09-28 08:30:24.618912
NSE:MOIL-EQ,MOIL LIMITED,354.4,177200.0,13.42,2.08,18.84,,,1.12,,,1.18,,,,,,,,3.34,820341,Technology,large_cap,2025-09-28 09:46:43.779758
NSE:ESCORTS-EQ,ESCORTS KUBOTA LIMITED,3543.7,177185.0,22.09,3.77,19.09,,,1.33,,,1.31,,,,,,,,3.77,67428,Technology,large_cap,2025-09-28 08:30:22.712321
NSE:UTISENSETF-EQ,UTIAMC - UTISENSETF,885.17,177034.0,16.77,2.44,13.77,,,1.37,,,0.78,,,,,,,,2.44,1622,Technology,large_cap,2025-09-28 10:53:22.528223
NSE:REPCOHOME-EQ,REPCO HOME FINANCE LTD,353.3,176650.0,13.43,2.18,15.56,,,1.41,,,1.04,,,,,,,,2.41,98318,Technology,large_cap,2025-09-28 08:30:21.828065
NSE:DIAMINESQ-EQ,DIAMINES & CHEMICALS LTD,352.65,176325.0,13.61,1.08,11.91,,,1.43,,,1.08,,,,,,,,2.16,5640,Technology,large_cap,2025-09-28 10:50:15.436120
NSE:BOROLTD-EQ,BOROSIL LIMITED,352.05,176025.0,21.15,1.08,19.48,,,1.32,,,0.89,,,,,,,,2.05,151003,Technology,large_cap,2025-09-28 08:29:56.719544
NSE:TITAGARH-EQ,TITAGARH RAIL SYSTEMS LTD,879.25,175850.0,32.97,4.45,21.0,,,1.51,,,0.39,,,,,,,,0.58,1011020,Technology,large_cap,2025-09-28 09:41:00.802748
NSE:ADANIENSOL-EQ,ADANI ENERGY SOLUTION LTD,879.2,175840.0,10.67,2.57,17.17,,,1.39,,,1.1,,,,,,,,3.16,1824641,Technology,large_cap,2025-09-28 09:29:23.326396
NSE:ENRIN-EQ,SIEMENS ENERGY INDIA LTD,3516.2,175810.0,15.43,2.18,14.83,,,1.41,,,1.11,,,,,,,,2.39,616010,Technology,large_cap,2025-09-28 09:54:55.021841
NSE:FSL-EQ,FIRSTSOURCE SOLU. LTD.,351.6,175800.0,16.92,1.78,16.81,,,1.49,,,0.84,,,,,,,,3.08,1532685,Technology,large_cap,2025-09-28 09:31:23.135385
NSE:GOCLCORP-EQ,GOCL CORPORATION LIMITED,351.55,175775.0,9.7,2.21,15.13,,,1.12,,,1.22,,,,,,,,2.31,39783,Technology,large_cap,2025-09-28 08:30:24.256547
NSE:KRBL-EQ,KRBL LIMITED,350.9,175450.0,13.61,1.13,15.38,,,1.25,,,0.65,,,,,,,,2.61,611017,Technology,large_cap,2025-09-28 09:55:10.735075
NSE:GODIGIT-EQ,GO DIGIT GENERAL INS LTD,350.85,175425.0,35.56,3.46,23.92,,,1.38,,,0.37,,,,,,,,0.87,281201,Technology,large_cap,2025-09-28 08:29:52.555854
NSE:DIFFNKG-EQ,DIFFUSION ENGINEERS LTD,350.45,175225.0,17.6,0.99,15.75,,,1.19,,,0.72,,,,,,,,2.52,318983,Technology,large_cap,2025-09-28 08:29:51.893628
NSE:SGFIN-EQ,SG FINSERVE LIMITED,349.55,174775.0,10.35,1.02,14.39,,,1.39,,,0.6,,,,,,,,2.6,161487,Technology,large_cap,2025-09-28 08:29:56.360162
NSE:SBICARD-EQ,SBI CARDS & PAY SER LTD,873.85,174770.0,16.83,1.2,17.88,,,1.41,,,0.82,,,,,,,,2.1,894416,Technology,large_cap,2025-09-28 09:43:54.543238
NSE:5PAISA-EQ,5PAISA CAPITAL LIMITED,349.05,174525.0,13.36,1.65,17.52,,,1.36,,,1.3,,,,,,,,2.61,16039,Technology,large_cap,2025-09-28 10:50:14.214465
NSE:LICI-EQ,LIFE INSURA CORP OF INDIA,872.45,174490.0,13.04,2.07,18.33,,,1.29,,,0.96,,,,,,,,2.97,499920,Technology,large_cap,2025-09-28 08:23:37.994017
NSE:ZAGGLE-EQ,ZAGGLE PREPA OCEAN SER L,348.85,174425.0,19.81,1.69,15.15,,,1.21,,,0.66,,,,,,,,2.99,637888,Technology,large_cap,2025-09-28 09:54:05.766139
NSE:PIIND-EQ,PI INDUSTRIES LTD,3487.6,174380.0,18.37,1.68,14.58,,,1.01,,,0.71,,,,,,,,2.13,185817,Technology,large_cap,2025-09-28 08:29:55.143860
NSE:PRAJIND-EQ,PRAJ INDUSTRIES LTD,348.4,174200.0,16.58,1.46,19.83,,,1.5,,,0.74,,,,,,,,2.47,1049720,Technology,large_cap,2025-09-28 09:40:06.087690
NSE:AGI-EQ,AGI GREENPAC LIMITED,870.95,174190.0,11.38,2.42,12.42,,,1.3,,,0.89,,,,,,,,3.21,135261,Technology,large_cap,2025-09-28 08:29:57.328574
NSE:63MOONS-EQ,63 MOONS TECHNOLOGIES LTD,870.75,174150.0,10.75,2.04,14.6,,,1.12,,,1.3,,,,,,,,3.07,197101,Technology,large_cap,2025-09-28 08:29:54.926629
NSE:THOMASCOTT-EQ,THOMAS SCOTT (INDIA) LTD,348.25,174125.0,17.62,1.45,11.76,,,1.41,,,0.66,,,,,,,,3.22,15389,Technology,large_cap,2025-09-28 10:50:14.283501
NSE:SPLPETRO-EQ,SUPREME PETROCHEM LIMITED,870.1,174020.0,16.74,2.44,13.74,,,1.39,,,0.77,,,,,,,,2.44,207303,Technology,large_cap,2025-09-28 08:29:54.499879
NSE:NIFITETF-EQ,UTIAMC - NIFITETF,347.96,173980.0,37.29,5.04,14.93,,,1.33,,,0.11,,,,,,,,1.12,6639,Technology,large_cap,2025-09-28 10:50:15.301169
NSE:COHANCE-EQ,COHANCE LIFESCIENCES LTD,869.3,173860.0,16.9,1.06,18.05,,,1.08,,,1.29,,,,,,,,2.83,582022,Technology,large_cap,2025-09-28 09:56:18.332475
NSE:JYOTICNC-EQ,JYOTI CNC AUTOMATION LTD,868.95,173790.0,14.52,1.64,13.72,,,1.02,,,0.76,,,,,,,,2.81,150449,Technology,large_cap,2025-09-28 08:29:56.742014
NSE:IGIL-EQ,INTERNATIO GEMM INS (I) L,347.3,173650.0,14.87,1.03,15.43,,,1.43,,,0.89,,,,,,,,2.69,281253,Technology,large_cap,2025-09-28 08:29:52.541619
